Scenario,C,Charac,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,IntroScreen.started,IntroScreen.stopped,instructions.started,instructions.stopped,scenario1.started,scenario1.stopped,notAtAll.started,notAtAll.stopped,veryMuch.started,veryMuch.stopped,lastRating,rating.response,rating.rt,rating.started,rating.stopped,riskBehaviorScaleScreen.started,riskBehaviorScaleScreen.stopped,activity.started,activity.stopped,notAtAll2.started,notAtAll2.stopped,ExtremelyLikely.started,ExtremelyLikely.stopped,rating2.response,rating2.rt,rating2.started,rating2.stopped,Rating,riskPerceptionInstructions.started,riskPerceptionInstructions.stopped,riskPerceptionActivity2.started,riskPerceptionActivity2.stopped,rating3.response,rating3.rt,rating3.started,rating3.stopped,notAtAllRisky.started,notAtAllRisky.stopped,ModeratelyRisky.started,ModeratelyRisky.stopped,ExtremelyRisky.started,ExtremelyRisky.stopped,expBenefits.started,expBenefits.stopped,riskBenefitsScale.started,riskBenefitsScale.stopped,noBenefits.started,noBenefits.stopped,rating4.response,rating4.rt,rating4.started,rating4.stopped,greatBenefits.started,greatBenefits.stopped,moderateBenefits.started,moderateBenefits.stopped,big5Screen.started,big5Screen.stopped,rating5.response,rating5.rt,rating5.started,rating5.stopped,characText.started,characText.stopped,Someone.started,Someone.stopped,disagreeStrongly.started,disagreeStrongly.stopped,disagreeALittle.started,disagreeALittle.stopped,Neutral.started,Neutral.stopped,AgreeALittle.started,AgreeALittle.stopped,AgreeStrongly.started,AgreeStrongly.stopped,participant,session,sex,age,date,expName,psychopyVersion,frameRate,
,Gambling a week's income at a casino. (G),,,,,,,,,,,,,,0,32,32,32,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.71044915899984,None,72.71044915899984,None,4,0.52,0.00546769420907367,None,72.71044915899984,None,72.71044915899984,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Taking a job that you enjoy over one that is prestigious but less enjoyable. (S),,,,,,,,,,,,,,0,33,33,33,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.26119134100736,None,73.26119134100736,None,4,0.408,0.0012844222073908895,None,73.26119134100736,None,73.26119134100736,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Defending an unpopular issue that you believe in at a social occasion. (S),,,,,,,,,,,,,,0,34,34,34,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.71144645100867,None,73.71144645100867,None,4,0.406,0.0018201401981059462,None,73.71144645100867,None,73.71144645100867,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Exposing yourself to the sun without using sunscreen. (H),,,,,,,,,,,,,,0,35,35,35,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.14417276899621,None,74.14417276899621,None,4,0.545,0.0071186432032845914,None,74.14417276899621,None,74.14417276899621,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Trying out bungee jumping at least once. (R),,,,,,,,,,,,,,0,36,36,36,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.71094183099922,None,74.71094183099922,None,4,0.428,0.004863249196205288,None,74.71094183099922,None,74.71094183099922,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,"Piloting your own small plane, if you could. (R) ",,,,,,,,,,,,,,0,37,37,37,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.16120092400524,None,75.16120092400524,None,4,0.44,0.0024199141917051747,None,75.16120092400524,None,75.16120092400524,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Walking home alone at night in a somewhat unsafe area of town. (H),,,,,,,,,,,,,,0,38,38,38,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.62698184100736,None,75.62698184100736,None,4,0.441,0.002184672193834558,None,75.62698184100736,None,75.62698184100736,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,Regularly eating high cholesterol foods. (H) ,,,,,,,,,,,,,,0,39,39,39,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.11120071400364,None,76.11120071400364,None,4,0.594,0.004192386200884357,None,76.11120071400364,None,76.11120071400364,None,,,,,,,,,,,,,,,,,,,,,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,,Tends to be quiet.,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.72871430400119,None,4,2.459,0.0034870881936512887,None,76.87747139400744,None,76.87747139400744,None,76.87747139400744,None,76.87747139400744,None,76.87747139400744,None,76.87747139400744,None,76.87747139400744,None,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,,"Is compassionate, has a soft heart.",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.476,0.004505919190705754,None,79.36045860000013,None,79.36045860000013,None,79.36045860000013,None,79.36045860000013,None,79.36045860000013,None,79.36045860000013,None,79.36045860000013,None,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,,Tends to be disorganized.,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.409,0.0038718011928722262,None,79.86037371499697,None,79.86037371499697,None,79.86037371499697,None,79.86037371499697,None,79.86037371499697,None,79.86037371499697,None,79.86037371499697,None,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,,Worries a lot.,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.407,0.003821689198957756,None,80.29401674200199,None,80.29401674200199,None,80.29401674200199,None,80.29401674200199,None,80.29401674200199,None,80.29401674200199,None,80.29401674200199,None,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,,"Is fascinated by art, music, or literature.",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.459,0.002983618207508698,None,80.74446149400319,None,80.74446149400319,None,80.74446149400319,None,80.74446149400319,None,80.74446149400319,None,80.74446149400319,None,80.74446149400319,None,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,,"Is dominant, acts as a leader.",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.458,0.003598527211579494,None,81.24428399500903,None,81.24428399500903,None,81.24428399500903,None,81.24428399500903,None,81.24428399500903,None,81.24428399500903,None,81.24428399500903,None,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,,Is sometimes rude to others.,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.527,0.004615886195097119,None,81.72804489200644,None,81.72804489200644,None,81.72804489200644,None,81.72804489200644,None,81.72804489200644,None,81.72804489200644,None,81.72804489200644,None,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,,Has difficulty getting started on tasks.,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.526,0.004570027202134952,None,82.27704524500587,None,82.27704524500587,None,82.27704524500587,None,82.27704524500587,None,82.27704524500587,None,82.27704524500587,None,82.27704524500587,None,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,,"Tends to feel depressed, blue.",,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.426,0.005683899202267639,None,82.82687583300867,None,82.82687583300867,None,82.82687583300867,None,82.82687583300867,None,82.82687583300867,None,82.82687583300867,None,82.82687583300867,None,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
,,Has little interest in abstract ideas.,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.445,0.004920609208056703,None,83.27707432799798,None,83.27707432799798,None,83.27707432799798,None,83.27707432799798,None,83.27707432799798,None,83.27707432799798,None,83.27707432799798,None,,001,,,2020_Oct_29_1726,Big5,2020.2.4,59.60526544167056,
